Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 88894, 115.510788707665, 1091
CPUseq, 102936, 101.421935536218, 1095
CPUseq, 91822, 111.665717508068, 1103
CPUseq, 97839, 105.117100449901, 1107
CPUseq, 94755, 109.067905678075, 1115
CPUseq, 77582, 132.870942453595, 1118
CPUseq, 75137, 137.292859398383, 1126
CPUseq, 90006, 114.176105224699, 1131
CPUseq, 72849, 141.627011103558, 1139
CPUseq, 94093, 108.871977441726, 1145
CPUseq, 96873, 105.678083422279, 1150
CPUseq, 90874, 112.838798492474, 1155
CPUseq, 77481, 132.895663614496, 1160
CPUseq, 95161, 107.733080519704, 1164
CPUseq, 88665, 115.681828698348, 1167
CPUseq, 96203, 106.427134662253, 1168
CPUseq, 94373, 108.621270217134, 1172
CPUseq, 95611, 107.096193801272, 1173
CPUseq, 89018, 115.350897429982, 1178
CPUseq, 84340, 121.897703447267, 1181
CPUseq, 80591, 130.032247997503, 1189
CPUseq, 76108, 135.449964783009, 1195
CPUseq, 76109, 135.389447746443, 1201
CPUseq, 100827, 102.571466669402, 1207
CPUseq, 95016, 107.776041386, 1213
CPUseq, 78187, 131.646502810653, 1219
CPUseq, 79414, 129.575639779721, 1226
CPUseq, 98939, 103.485387863234, 1230
CPUseq, 90644, 114.827701034598, 1236
CPUseq, 82888, 124.333262877818, 1239
CPUseq, 91491, 112.0736996649, 1244
CPUseq, 83594, 122.95434705094, 1245
CPUseq, 111616, 95.3607018547657, 1246
CPUseq, 86025, 126.847212532505, 1247
CPUseq, 107919, 97.8339562095212, 1252
CPUseq, 83752, 128.364761305726, 1255
CPUseq, 79370, 129.790906849066, 1263
CPUseq, 99197, 103.2332658876, 1269
CPUseq, 98527, 103.87020379334, 1274
CPUseq, 79867, 128.887571371493, 1278
CPUseq, 87354, 117.529529294235, 1283
CPUseq, 81863, 125.574503352839, 1286
CPUseq, 82952, 123.889639109481, 1292
CPUseq, 102099, 100.260677762182, 1296
CPUseq, 92742, 110.612127513661, 1301
CPUseq, 92246, 111.195125205711, 1306
CPUseq, 99082, 103.359173126615, 1312
CPUseq, 82909, 123.932630222211, 1315
CPUseq, 117252, 89.7311654283766, 1324
CPUseq, 94679, 112.322950948567, 1327
CPUseq, 85379, 120.321016471947, 1332
CPUseq, 124107, 85.7250625792957, 1336
CPUseq, 107328, 96.969696969697, 1341
CPUseq, 86125, 123.960283125287, 1343
CPUseq, 106283, 99.3907347957023, 1349
CPUseq, 148314, 68.4776728547657, 1353
CPUseq, 152952, 66.3437935381145, 1356
CPUseq, 103529, 103.872361642014, 1357
CPUseq, 97399, 105.250970940207, 1359
CPUseq, 89081, 115.263145761774, 1364
CPUseq, 98385, 104.137378029096, 1371
CPUseq, 105994, 99.7526135184742, 1374
CPUseq, 103145, 104.351455702807, 1379
CPUseq, 90730, 113.28492290961, 1381
CPUseq, 109869, 97.7928161397264, 1388
CPUseq, 97814, 108.314197825051, 1391
CPUseq, 87179, 118.621147778226, 1397
CPUseq, 160298, 65.4176261251832, 1402
CPUseq, 97690, 114.776300989372, 1403
CPUseq, 98860, 103.926337012326, 1406
CPUseq, 97367, 105.182333575253, 1415
CPUseq, 90719, 113.101701049584, 1421
CPUseq, 94286, 108.685019943701, 1428
CPUseq, 116378, 90.3603571041313, 1436
CPUseq, 110598, 92.4513474783895, 1438
CPUseq, 105924, 96.4487567755252, 1440
CPUseq, 94256, 112.570778877219, 1445
CPUseq, 89482, 114.625004298438, 1446
CPUseq, 92812, 110.41671267363, 1450
CPUseq, 93495, 110.777547606651, 1452
CPUseq, 111591, 94.9911183304361, 1454
CPUseq, 108930, 93.7523438085952, 1455
CPUseq, 103123, 102.373006285703, 1458
CPUseq, 120207, 88.2651485061124, 1460
CPUseq, 94652, 112.036030787501, 1463
CPUseq, 113865, 95.1339009656091, 1467
CPUseq, 102775, 107.066381156317, 1472
CPUseq, 95930, 106.843314279609, 1474
CPUseq, 115511, 91.1319499503331, 1479
CPUseq, 116595, 87.7231457520067, 1483
CPUseq, 94990, 111.720609100761, 1486
CPUseq, 116757, 90.1412513408511, 1492
CPUseq, 112149, 90.9967787140335, 1498
CPUseq, 112639, 90.5846332228201, 1501
CPUseq, 114798, 88.854137048621, 1507
CPUseq, 98274, 109.597448571397, 1508
CPUseq, 123690, 87.7408486294879, 1512
CPUseq, 123346, 82.7869395324194, 1513
CPUseq, 103935, 102.94526400313, 1517
CPUseq, 116776, 90.9487776484284, 1519
CPUseq, 115584, 88.2854090704429, 1523
CPUseq, 134329, 76.8568617806198, 1525
CPUseq, 97621, 108.982323067199, 1530
CPUseq, 118355, 88.8351929500391, 1532
CPUseq, 116777, 87.4615169325497, 1539
CPUseq, 97870, 108.172426848396, 1541
CPUseq, 97149, 105.357425064531, 1546
CPUseq, 95541, 107.200668932174, 1550
